the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2021,11,,,0,12,1,12/30/20 through 01/30/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,5,,,1,6,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,2
POINT (-87.6297982 41.8781136),60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2020,41,,,1,4,0,03/29/20 through 05/02/20,2020 period corresponding to 2020 and 2019 beginning to end of month,1,"Chicago, IL (Divvy)",,,9999
POINT (-118.2436849 34.0522342),73,232082,10006,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2020,12,0.006352164884577,1,1,9,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.555545684715498,-3,1
POINT (-72.673371 40.909849),3,6962389.650000032,514510,40.909849,-72.673371,"CitiBike (New York, NY)",2019,51,,,1,1,1,05/05/19 through 06/01/19,2019 period corresponding to 2020 and 2019 beginning to end of month,1,"New York, NY (CitiBike)",,,1
POINT (-79.9849659685496 40.4454577489795),29,415005,11423,40.4454577489795,-79.9849659685496,"Healthy Ride, now POGOH (Pittsburgh, PA)",2020,8,0.003381984205959,1,0,11,1,08/02/20 through 08/29/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",0.038737837592071,1,1
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2020,12,,,1,5,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2022,9,,,1,6,1,08/28/22 through 10/01/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2020,10,,,1,6,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-118.2436849 34.0522342),73,286554,18966,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2020,3,0.011242622140366,1,1,9,1,03/01/20 through 03/28/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.042217957782042,-1,1
POINT (-118.2436849 34.0522342),73,1425,77,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2021,5,0.000596746568707,1,1,9,1,05/02/21 through 05/29/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.770833333333333,-4,2
POINT (-118.2436849 34.0522342),73,29836,931,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2019,7,0.012340933191941,1,1,9,1,06/30/19 through 08/03/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,2
POINT (-77.0368707 38.9071923),56,99755.71666666676,6415,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2022,8,0.077187789529413,3,0,3,1,07/31/22 through 08/27/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",-0.354627766599598,-2,9999
POINT (-77.0368707 38.9071923),56,0,0,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2020,31,,,0,3,1,03/01/20 through 03/28/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",,,2
POINT (-87.6297982 41.8781136),60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2020,5,,,1,4,1,05/03/20 through 05/30/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",,,2
POINT (-118.2436849 34.0522342),73,371514,14924,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2021,3,0.007471320472289,1,1,9,1,02/28/21 through 03/27/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",-0.213118211536434,-1,1
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2019,4,,,0,10,1,03/31/19 through 05/04/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,2
POINT (-71.0588801 42.3600825),1,2876416.133333333,106675,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2020,5,0.053629539658209,3,1,5,1,05/03/20 through 05/30/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",-0.478537803870577,-2,1
POINT (-118.2436849 34.0522342),73,503679,24697,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2022,12,0.009956083099451,1,1,9,1,12/29/21 through 01/29/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",0.937171542866107,4,1
POINT (-77.0368707 38.9071923),56,213658.0166666664,13252,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2022,9,0.04852559384532,2,0,3,1,08/28/22 through 10/01/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",-0.22552743848986,-1,2
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.4454577489795,-79.9849659685496,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,6,,,0,11,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,9999
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2021,8,,,0,12,1,08/01/21 through 08/28/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-97.7492916839957 30.2703327863944),53,116278,4855,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2020,1,0.002289104194082,1,0,12,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",-0.496734736187416,-2,1
POINT (-71.0588801 42.3600825),1,5346878.71666668,308842,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2022,5,0.07570376790734,3,1,5,1,05/01/22 through 05/28/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",0.236560043882303,1,1
POINT (-71.0588801 42.3600825),1,1476455.8999999992,95802,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2020,31,,,1,5,1,03/01/20 through 03/28/20,2020 period corresponding to 2020 and 2019 beginning to end of month,1,"Boston Metro, MA (Blue Bikes)",,,1
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2019,7,,,1,1,1,06/30/19 through 08/03/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2023,8,,,0,12,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,9999
